Date,FacilityId,Certification,Automation_Level,Capacity,Production,Capacity_Utilization,Automation_Factor,Employee_Count
2016-01-01,FAC001,ISO 9001,Medium,119378,99632,0.8346,1.1,2530
2016-02-01,FAC001,ISO 9001,Medium,119378,105194,0.8812,1.1,3130
2016-03-01,FAC001,ISO 9001,Medium,119378,113426,0.9501,1.1,3560
2016-04-01,FAC001,ISO 9001,Medium,119378,102265,0.8566,1.1,2780
2016-05-01,FAC001,ISO 9001,Medium,119378,100839,0.8447,1.1,2800
2016-06-01,FAC001,ISO 9001,Medium,119378,103365,0.8659,1.1,3120
2016-07-01,FAC001,ISO 9001,Medium,119378,111342,0.9327,1.1,3020
2016-08-01,FAC001,ISO 9001,Medium,119378,97485,0.8166,1.1,2730
2016-09-01,FAC001,ISO 9001,Medium,119378,104540,0.8757,1.1,3060
2016-10-01,FAC001,ISO 9001,Medium,119378,101537,0.8506,1.1,2980
2016-11-01,FAC001,ISO 9001,Medium,119378,101189,0.8476,1.1,2750
2016-12-01,FAC001,ISO 9001,Medium,119378,91834,0.7693,1.1,2560
2017-01-01,FAC001,ISO 9001,Medium,119378,111491,0.9339,1.1,3030
2017-02-01,FAC001,ISO 9001,Medium,119378,98877,0.8283,1.1,2740
2017-03-01,FAC001,ISO 9001,Medium,119378,102766,0.8608,1.1,3130
2017-04-01,FAC001,ISO 9001,Medium,119378,96843,0.8112,1.1,2940
2017-05-01,FAC001,ISO 9001,Medium,119378,100926,0.8454,1.1,2910
2017-06-01,FAC001,ISO 9001,Medium,119378,107652,0.9018,1.1,3060
2017-07-01,FAC001,ISO 9001,Medium,119378,100328,0.8404,1.1,3070
2017-08-01,FAC001,ISO 9001,Medium,119378,92907,0.7783,1.1,2650
2017-09-01,FAC001,ISO 9001,Medium,119378,103111,0.8637,1.1,2980
2017-10-01,FAC001,ISO 9001,Medium,119378,94348,0.7903,1.1,2610
2017-11-01,FAC001,ISO 9001,Medium,119378,101640,0.8514,1.1,2890
2017-12-01,FAC001,ISO 9001,Medium,119378,107451,0.9001,1.1,2900
2018-01-01,FAC001,ISO 9001,Medium,119378,99265,0.8315,1.1,2840
2018-02-01,FAC001,ISO 9001,Medium,119378,110287,0.9238,1.1,3130
2018-03-01,FAC001,ISO 9001,Medium,119378,109514,0.9174,1.1,3060
2018-04-01,FAC001,ISO 9001,Medium,119378,106512,0.8922,1.1,3280
2018-05-01,FAC001,ISO 9001,Medium,119378,101469,0.85,1.1,2890
2018-06-01,FAC001,ISO 9001,Medium,119378,95232,0.7977,1.1,2660
2018-07-01,FAC001,ISO 9001,Medium,119378,97617,0.8177,1.1,2730
2018-08-01,FAC001,ISO 9001,Medium,119378,109591,0.918,1.1,3420
2018-09-01,FAC001,ISO 9001,Medium,119378,103620,0.868,1.1,2990
2018-10-01,FAC001,ISO 9001,Medium,119378,100254,0.8398,1.1,2980
2018-11-01,FAC001,ISO 9001,Medium,119378,115995,0.9717,1.1,3130
2018-12-01,FAC001,ISO 9001,Medium,119378,108031,0.9049,1.1,3020
2019-01-01,FAC001,ISO 9001,Medium,131315,112575,0.8573,1.1,3200
2019-02-01,FAC001,ISO 9001,Medium,131315,65657,0.5,1.1,1830
2019-03-01,FAC001,ISO 9001,Medium,131315,122372,0.9319,1.1,3650
2019-04-01,FAC001,ISO 9001,Medium,131315,118480,0.9023,1.1,3320
2019-05-01,FAC001,ISO 9001,Medium,131315,125486,0.9556,1.1,3960
2019-06-01,FAC001,ISO 9001,Medium,131315,109192,0.8315,1.1,3220
2019-07-01,FAC001,ISO 9001,Medium,131315,106551,0.8114,1.1,2910
2019-08-01,FAC001,ISO 9001,Medium,131315,113303,0.8628,1.1,3220
2019-09-01,FAC001,ISO 9001,Medium,131315,111952,0.8525,1.1,3040
2019-10-01,FAC001,ISO 9001,Medium,131315,95975,0.7309,1.1,2710
2019-11-01,FAC001,ISO 9001,Medium,131315,103027,0.7846,1.1,2770
2019-12-01,FAC001,ISO 9001,Medium,131315,125491,0.9556,1.1,3170
2020-01-01,FAC001,ISO 9001,Medium,131315,109529,0.8341,1.1,3030
2020-02-01,FAC001,ISO 9001,Medium,131315,121524,0.9254,1.1,3550
2020-03-01,FAC001,ISO 9001,Medium,131315,113495,0.8643,1.1,3290
2020-04-01,FAC001,ISO 9001,Medium,131315,109014,0.8302,1.1,3120
2020-05-01,FAC001,ISO 9001,Medium,131315,124105,0.9451,1.1,3750
2020-06-01,FAC001,ISO 9001,Medium,131315,104717,0.7974,1.1,2940
2020-07-01,FAC001,ISO 9001,Medium,131315,97359,0.7414,1.1,2830
2020-08-01,FAC001,ISO 9001,Medium,131315,113703,0.8659,1.1,3030
2020-09-01,FAC001,ISO 9001,Medium,131315,122341,0.9317,1.1,3800
2020-10-01,FAC001,ISO 9001,Medium,131315,118294,0.9008,1.1,3710
2020-11-01,FAC001,ISO 9001,Medium,131315,115775,0.8817,1.1,3100
2020-12-01,FAC001,ISO 9001,Medium,131315,112795,0.859,1.1,3260
2021-01-01,FAC001,ISO 9001,Medium,131315,106886,0.814,1.1,3060
2021-02-01,FAC001,ISO 9001,Medium,131315,103824,0.7906,1.1,3110
2021-03-01,FAC001,ISO 9001,Medium,131315,124062,0.9448,1.1,3290
2021-04-01,FAC001,ISO 9001,Medium,131315,114318,0.8706,1.1,3290
2021-05-01,FAC001,ISO 9001,Medium,131315,110972,0.8451,1.1,3090
2021-06-01,FAC001,ISO 9001,Medium,131315,106457,0.8107,1.1,2910
2021-07-01,FAC001,ISO 9001,Medium,131315,116083,0.884,1.1,3380
2021-08-01,FAC001,ISO 9001,Medium,131315,112017,0.853,1.1,2830
2021-09-01,FAC001,ISO 9001,Medium,131315,110629,0.8425,1.1,2950
2021-10-01,FAC001,ISO 9001,Medium,131315,113511,0.8644,1.1,2930
2021-11-01,FAC001,ISO 9001,Medium,131315,125168,0.9532,1.1,3570
2021-12-01,FAC001,ISO 9001,Medium,131315,65657,0.5,1.1,1880
2022-01-01,FAC001,ISO 9001,Medium,143253,115541,0.8066,1.1,3110
2022-02-01,FAC001,ISO 9001,Medium,143253,116922,0.8162,1.1,3360
2022-03-01,FAC001,ISO 9001,Medium,143253,111317,0.7771,1.1,2910
2022-04-01,FAC001,ISO 9001,Medium,143253,132259,0.9233,1.1,3680
